Title,Date,Author,Content
Tekad Sabar/Reza untuk Tembus Level Elite di Tur ASEAN,"Kompas.com- 08/05/2024, 20:26 WIB",Firzie A. Idris,pasangan ganda putra indonesia sabar karyamanmreza pahlevi berambisi melanjutkan kesuksesan berlaga turnamenbwf world tourdi negaranegara asia tenggara sabar karyamanm reza pahlevi menyita perhatian tur eropa pertengahan maret runnerup ajang orleans masters tembus semifinal swiss open juara spain masters peringkat sabarreza melonjak dunia tur eropa peringkat harapan menanjak klasemen bwf terbuka berpartisipasi thailand open level malaysia masters level singapura open level indonesia open level target menaikkan peringkat alhamdullilah hasilhasil bagus eropa kemarin peringkat peringkat reza sesi konferensi pers tebet jakarta rabu rangking tertinggi cepat puas harapan tur asean rangking tampil baca jugacerita sabarreza ikuti tur eropa akomodasi urus resiko otot putus menyadari tur asean beda tur eropa kali jarak antarpertandingan singkat lawanlawan mata berkualitas turnamen levelnya dibanding tur eropa kemarin sabar persaingan lawanlawannya ketat targetnya thailand malaysia samasama level top player ambil inginnya tampil bagus maksimal turnamen melanjutkan maksimal singapura open indonesia open inginnya mencapai peakperfomance keempatnya timpal reza baca jugahasil final spain masters sabarreza juara kendati kertas sulit sabarreza suntikan motivasi kehdairan pelatih andrei adistia menjalani tur asean andrei absen tur eropa silam keterbasan dana memantau mengevaluasi sabarreza via group call kadang main bingungbingungnya tuh tur asia tenggara bujet pelatih berharap meraih hasil maksimal sabar hadir langsung pelatih menganalisa pinggir lapangan dibanding main lapangan fokusnya terbagi lawan partner pelatih kasih solusi timpal reza
"Fajar/Rian ke 8 Besar BAC 2024, Siapkan Mental dan Teknik Vs Ganda No 1 China","Kompas.com- 11/04/2024, 23:27 WIB","Ahmad Zilky,Sem Bagaskara",ganda putra indonesia fajar alfianmuhammad rian ardianto mental teknik bermain besarbadminton asia championships fajarrian berhasil perempat final badminton asia championships menang wakil taiwan lu ching yaoyang po han bertanding main location ningbo china fajarrian membekuk luyang gim langsung skor fajar lantas kunci kemenangan melawan luyang keunggulan segi kecepatan danpower baca jugahasil badminton asia championships fajarrian tembus perempat final turun bertanding membawa strategi mendahului permainan fajar keterangan pbsi diterima meredam permainan lawan mengandalkan kecepatan danpower juara all england keunggulan lawan redam berinisiatif mengambil permainan fajarrian melawan ganda nomor china liang wei kengwang chang memperebutkan tiket semifinalbac eks ganda putra nomor dunia mengakui menunggu momen menghadapi liangwang baca jugabac fajarrian terpengaruh kekalahan fikribagas leodaniel fajarrian mengalami kekalahan beruntun melawan liangwang kompetisi resmi bulu tangkis pasangan berjulukan fajri kalah liangwang malaysia open bwf world tour finals liangwang dipandang sebelah mata memiliki kualitas berhak menempati peringkat ketiga ranking bwf besok melawan liangwang laga nantikan pertemuan kalah fajar lawan pasangan muda bagus penampilannya laga besok ajang simulasi jelang piala thomas olimpiade paris melawan pasangan terbaik nomor china performa terbaik baca jugaalasan fajarrian plong juarai all england pelatih berkacakaca rian teknik mental melawan liangwang besok bertemu pasangan liangwang lawan tampil motivasi wakil tuan rumah didukung penonton dipersiapkan teknik utama mental
"Lolos ke Perempat Final Indonesia Masters 2024, Leo/Daniel Jaga Asa Pertahankan Gelar","Kompas.com- 25/01/2024, 22:24 WIB","Farahdilla Puspa,Firzie A. Idris",ganda putra indonesia leo rolly carnandodaniel marthin berharap mempertahankan gelar juaraindonesia masters leodaniel mengalahkan xie hao nanzeng wei han china skor babak besarindonesia masters istora senayan jakarta kamis kemenangan menjaga asa leodaniel podium juara mempertahankan gelarindonesia mastersyang raih leodaniel juara indonesia masters menang he jitingzhou hao china baca jugahasil indonesia masters leodaniel susul fajarrian perempat final harapan terbaik mempertahankan gelar juara daniel pertandingan media leodaniel memperbaiki catatan terhenti babakbabak malaysia open india open kompascomfirzie a idrisganda putra indonesia leo rolly carnandodaniel marthin berhasil babak indonesia masters kepastian leodaniel merebut tiket indonesia masters diraih mengalahkan utusan jerman mark lamsfussmarvin seidel selasa leodaniel menambah poin kualifikasi olimpiade paris april memperbaiki pencapaian masuk penghitungan olimpiade daniel baca jugaindonesia masters ginting terbebani satusatunya wakil tunggal putra peluang memanfaatkan menggunakannya melanjutkan terkait kemenangan wakil china leodaniel menilai faktor dukungan penggemar memadati istora senayan bermain bagus bantuan penonton istora lawan tertekan kali main istora keuntungan memenangkan pertandingan
"Australian Open 2024: Kans Juara Ahsan/Hendra, Terus Fokus","Kompas.com- 14/06/2024, 22:00 WIB","Egi Dinda Janviera,Sem Bagaskara",ganda putra indonesia mohammad ahsanhendra setiawan berhasil melaju babak semifinalaustralian open quaycentre sydney panggung duel perempat final australian open ahsanhendra melawan wakil tuan rumah pramudya kusumawardanaandika ramadiansyah informasi pramudya kusumawardanaandika ramadiansyah samasama jebolan pelatnas pbsi beralih membela australia baca jugahasil lengkap australia open wakil indonesia semifinal mohammad ahsanhendra setiawan menang skor laga perempat final australian open jumat pertandingan pasangan berjuluk the daddies mengaku bersyukur keberhasilan menembus babak semifinal australia open semifinal australian open ahsanhendra dinantikan wakil taiwan chen zhi raylin yu chieh baca jugakata irwansyah ginting gugur indonesia open kans australia open hendra mengaku matang pasalnya semifinal australian open momen ahsanhendra berjumpa chen zhi raylin yu chieh pertandingan besok semifinal fokus peluang juara kendur fokusnya hendra setiawan dikutip dariantara pertemuan pelajari permainan lawan baca jugabwf rilis daftar atlet lolos olimpiade paris indonesia wakil ahsan mengaku sependapat rekannya menyorot kekuatan sang rival semifinal australian open peluang final fokus pasangan taiwan memiliki tenaga kuat kencang pukulannya ahsan
Hasil Thailand Open 2024: Langkah Gregoria Terhenti Usai Berjuang Tiga Gim,"Kompas.com- 17/05/2024, 15:35 WIB","Leonardo Juan Ruiz Febrian,Firzie A. Idris",langkahgregoria mariska tunjungdithailand open terhenti menelan kekalahan darisupanida katethongthailand babak gregoria takluk supanida berjuang via gim skor laga dimainkan nimibutr arena bangkok jumat head to head gregoria supinida keunggulan tunggal putri indonesia supinida menghadapi wang zhi yi china semifinal jalannya pertandingan pengembalian bola menyamping kali beruntun supanida keunggulan gregoria pukulan keras sisi kanan gregoria dikembalikan menyebabkan supanida berhasil menyamakan kedudukan supanida unggul gregoria interval gim durasi menit selepas interval gregoria berhasil poin beruntun memimpin tunggal tuan rumah baca jugahasil uber cup gregoria buka keunggulan indonesia jepang jorji kian nyaman mengembalikan pukulan supanida unggul pukulan smash menyilang jorji unggul supanida tunggal putri indonesia menang gim durasi menit gim supanida tampil agresif langsung memimpin jorji jorji tertinggal angka berupaya mengejar berkat pukulan menyilang menyamakan kedudukan supanida kesalahan supanida tambahan poin jorji unggul jorji unggul interval gim durasi menit baca jugahasil bac gregoria lolos babak selepas interval jorji kian nyaman mengendalikan permainan memimpin supanida
Makna Seragam Khusus Gregoria Mariska Saat Naik Podium,"Kompas.com- 06/08/2024, 18:32 WIB",Ferril Dennys,peraih medali perunggu tunggal putri bulutangkis olimpiade paris gregoria mariskatunjung mengaku bangga seragam khusus dirancang atlet podium seragam khusus spesial desainer kenamaan indonesia mendunia didit hediprasetyo seragam podium memiliki desain berbeda atlet pelepasan istana merdeka dipakai seharihari olimpiade paris pastinya senang atlet pakai podium bagus banget suka aksen merah putih lengan kiri gregoria baca jugakata ancelotti mbappe mengubah bellingham seragam khusus podium seragam resmi tim indonesia warna dominan merah putih fotowahyu putro anzpebulu tangkis tunggal putri indonesia gregoria mariska tunjung kanan pebulu tangkis korsel an seyoung he bingjiao china medali penganugerahan medali bulu tangkis tunggal putri olimpiade paris porte de la chapella arena paris prancis senin gregoria menyabet medali perungggu medali emas diraih an seyoung korsel medali perak diraih he bingjiao china lambang garuda pancasila perisai lingkaran berlatar hitam ditempatkan sisi kiri dada seragam khusus mengambil inspirasi lagu nasional berkibarlah benderaku ciptaan sud mencerminkan nasionalise kecintaan indentitas negara indonesia bendera merah putih gregoria mariska atlet tim indonesia meraih medali olimpiade paris tim indonesia menyisakan delapan atlet berjuang meraih medali menjaga merah putih panggung olahraga tertinggi dunia terima kasih mas didit mendesain seragam warnanya bagus bangga pakai podium suka pakai baju warna cerah bajunya warna hitam senang pakai baju imbuhnya a post shared by sports sportskompascom
Banyak Buang Poin di Gim Ketiga Salah Satu Faktor Kekalahan Ahsan/Hendra,"Kompas.com- 19/10/2023, 19:45 WIB","Leonardo Juan Ruiz Febrian,Ferril Dennys",ganda putra indonesiamohammad ahsanhendra setiawanharus tersingkir daridenmark open kalah aaron chiasoh wooi yik malaysia babak kamis the daddieskalah permainan gim jyske bank arena odense denmark ganda putra indonesia kehilangan poin gim ketiga menguntungkan pasangan malaysia gim ketiga interval membuang poin hendra setiawan baca jugahasil denmark open diwarnai skor ahsanhendra tersingkir pemain berusia bermain sabar sabar menyerang gaya main defense sambungnya permainan lawan menerima bola menyulitkan pasangan indonesia strategi menurunkan bola kesalahan samping lawan mohammad ahsan baca jugahasil denmark open berjuang menit gregoria takluk sindhu meraih hasil negatifthe daddiestetap bersyukur hasil diraihnya bersyukur hasilnya kalah menjaga stamina tenaganya ditambah pungkas ahsan keberhasilan diraih chiasoh membawa memperkecil ketertinggalanhead to head hasil denmark kekalahan beruntun arctic open arctic open langkah hendraahsan terhenti semifinal dikalahkan pasangan denmark kim astrupanders skaarup rasmussen gim langsung
Alasan Ribka Sugiarto Mundur dari PBSI,"Kompas.com- 16/05/2024, 20:00 WIB","Egi Dinda Janviera,Ferril Dennys",pebulu tangkis ganda putra indonesiamuhammad rian ardianto alasan kekasihnyaribka sugiartoyang memilih mundur daripbsi langsung ribka terkait permintaan kemundurannya pbsi jumat rian ribka resmi bertunangan sabtu baca jugamundur pelatnas kevin sanjaya syukur pasangan rencana jenjang pernikahan olimpiade paris kemarin berbicara pertimbangan ribka rian dikutip bola sport memilih mundur peta persaingan ganda putri dunia kendati rian kondisi ribka berjuang ganda putri indonesia cedera ganti partner ya juara swiss open rian hasilnya bagus dirasakan ribka bersaing level berat ribka bersaing berat gitu pertimbangan baca jugapbsi komitmen apriyani rahayu tampil olimpiade paris rian menyadari pemain berusia memaksa melanjutkan kiprahnya pelatnas hasilnya maksimal merasakan takutnya dipaksa hasilnya maksimal risiko komentar enak partner fajar alfian menghindari pernikahan hidup rian menikah baiknya fokus pernikahan bilang support bertanding olimpiade fokus persiapan pernikahan fokus persiapan olimpiade urusan olimpiade biar mengurus baca jugapbsi tingkatkan sport science mendorong prestasi atlet rian ribka mundur muncul pembicaraan mencoba bilang coba setahun hasilnya rian hasilnya bagus kondisi tubuhnya merasakan bertanding merasakan sehariharinya latihan
"Hasil French Open 2023: Singkirkan Ana/Tiwi, Apri/Fadia ke 16 Besar","Kompas.com- 24/10/2023, 17:27 WIB","Ahmad Zilky,Ferril Dennys",ganda putri indonesia apriyani rahayusiti fadia silva ramadhanti menembus besarfrench open aprifadia mengenggam tiket besarfrench open mengalahkan wakil indonesia febriana dwipuji kusumaamalia cahaya pratiwi laga aprifadia vs anatiwi besarfrench open bergulir glaz arena rennes perancis selasa aprifadia membungkus kemenangan membekuk anatiwi gim langsung skor baca jugahasil french open ahsanhendra susul fajarrian anatiwi meraih keunggulan anatiwi kerap kesalahan aprifadia menyamakan kedudukan laga anatiwi aprifadia sengit kedudukan kerap imbang skor anatiwi tambahan poin memimpin aprifadia interval gim baca jugahasil french open bekuk wakil skotlandia fajarrian mulus turun minum aprifadia bermain efektif juara hong kong open lantas menjauh aprifadia sulit dikejar memetik kemenangan anatiwi gim skor berlanjut gim aprifadia mengontrol permainan pasangan peringkat delapan dunia memimpin anatiwi bermain bagus skor melawan aprifadia imbang baca jugajadwal french open jonathan christie main aprifadia vs anatiwi anatiwi lantas jarak angka aprifadia mengubah skor aprifadia menyerah kedudukan upaya aprifadia berjung manis gim melawan anatiwi kemenangan
"Indonesia Masters 2024: Ginting Diserbu Fans di Istora, Layani Foto dan Beri Tanda Tangan","Kompas.com- 24/01/2024, 16:45 WIB","Ahmad Zilky,Eris Eka Jaya",tunggal putra indonesia anthonyginting diserbu penggemar bertanding diindonesia masters anthony gintingmemetik kemenangan melawan wakil thailand kantaphon wangcharoen babak indonesia masters bertanding diistorasenayan jakarta rabu anthony ginting mengalahkan kantaphon wangcharoen gim via skor selepas pertandingan anthony ginting sambutan meriah penggemar bulu tangkis indonesia baca jugahasil indonesia masters ginting bersinar istora fans bulu tangkis indonesia terdengar memanggil nama ginting pebulu tangkis kelahiran cimahi ruang konferensi pers kompascomahmad zilkysalah fans bulu tangkis indonesia zidan tanda tangan anthony ginting bermain indonesia masters ginting ginting ginting teriak fans bulu tangkis istora senayan anthony ginting menghampiri penggemarnya senyum foto baca jugajadwal indonesia masters wakil merah putih berlaga jojo ginting juara badminton asia championships segan tanda tangan baju dibawa penggemar pantauan anthony ginting sabar melayani permintaan penggemar bulu tangkis istora kompascomsempat berbicara langsung penggemar tanda tangan anthony ginting salah fans bulu tangkis jakarta barat zidan menceritakan perjuangan tanda tangan anthony ginting iya langsung menyodorkan baju berteriak ginting ginting tanda tangannya zidan rabu baca jugahasil india open jojo kalah lee zii jia harapan pundak ginting zidan baju dibubuhkan tanda tangan anthony ginting sang adik zidan berharap baju bertanda tangan ginting menambah semangat sang adik mengikuti kompetisi olimpiade olahraga siswa nasional osn adik ulang adik lomba osn zidan
Hasil Indonesia Open 2024: Fikri/Bagas Gugur di Tangan Wakil Denmark,"Kompas.com- 07/06/2024, 22:01 WIB","Egi Dinda Janviera,Ferril Dennys",pasangan ganda putra indonesia muhammad shohibul fikribagas maulana tersingkir babak perempat finalindonesia open wakil denmark kim astrupanders skaarup rasmussen laga fikribagas melawan kim astrupanders skaarup bertanding istora senayan jakarta jumat baca jugakunci sabarreza lolos semifinal indonesia open fikribagas kalah rubber game skor unggulan keempat denmark tempo menit gim sengit pasangan silih berganti meraih poin skor kuat tercipta kim astrupanders rasmussen mengendurkan serangan serangan bertubitubi bagasfikri interval fikribagas tertinggal serangan anders gagal dikembalikan fikri interval wakil indonesia tekanan kian tertinggal skor baca jugaindonesia open fisik membaik kaki problem gregoria rentetan poin membuka jalan kemenangan kim astrupanders rasmussen set menangi skor fikribagas kalinya memimpin gim kedudukan mengunci interval gim keunggulan tipis jeda variasi serangan fikribagas menyulitkan wakil denmark unggul ayal kim astrupanders rasmussen memanfaatkan momentum ganda putraitu lantas memperkecil kedudukan fikribagas keunggulan fikribagas dikejar menang kim astrupanders rasmussen gim skor baca jugadejangloria terhenti indonesia open pertahanan lawan menyulitkan memasuki game penentuan fikribagas tertinggal kerap kesalahan interval gim ditutup skor keunggulan kim astrupanders rasmussen jelang poin kritis fikribagas bangkit menuai poin beruntun menyamai skor kim astrupanders rasmussen menutup gim ketiga raihan kemenangan
